,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
47,2,1,1,3,12,1,5,1,2,70,4,39,90,1,1,1,H
48,2,1,1,3,12,1,5,1,2,13,80,40,88,1,1,1,H
49,2,1,1,3,12,1,5,1,1,29,39,50,77,1,1,1,M
50,2,1,1,3,12,1,5,1,1,20,14,12,70,2,2,2,L
51,1,1,1,3,12,1,5,1,1,39,15,16,50,2,1,2,L
52,2,1,1,3,12,1,5,1,1,55,90,16,40,2,2,1,M
53,2,1,1,3,11,1,4,1,2,49,70,19,75,1,1,1,H
54,1,1,1,3,12,1,5,1,2,12,50,8,30,2,2,2,L
55,1,1,1,1,7,1,11,1,1,16,14,6,20,1,1,2,L
56,1,10,5,1,8,2,11,1,1,19,5,4,1,1,1,2,L
57,1,1,1,1,7,1,11,1,1,5,2,6,5,1,1,2,L
58,1,1,1,1,7,1,11,1,1,28,60,19,50,1,1,1,M
59,2,10,5,1,7,1,11,1,1,27,22,22,40,2,1,1,M
60,2,2,2,2,5,1,5,1,2,21,10,28,20,2,1,2,L
61,1,1,1,3,10,1,1,1,1,50,70,32,40,1,1,1,M
62,1,14,14,3,10,1,1,1,2,80,90,70,80,1,1,1,H
63,1,1,1,3,10,1,1,1,1,17,13,16,12,1,2,1,M
64,1,1,1,3,10,1,1,1,1,0,5,7,2,2,2,2,L
65,1,1,1,3,12,1,5,1,1,13,5,18,19,2,2,2,L
66,2,1,1,3,12,1,5,1,1,25,10,19,30,2,2,2,M
67,2,10,5,3,12,1,5,1,2,65,75,23,80,1,1,1,H
68,2,10,5,3,12,1,1,1,2,70,69,35,30,1,1,1,H
69,1,2,2,1,7,1,1,1,1,39,40,11,33,2,2,1,M
70,1,2,2,1,7,1,1,1,1,22,30,10,12,1,1,2,L
71,1,1,1,1,7,1,1,1,1,29,22,9,20,1,1,1,M
72,1,1,1,1,7,1,11,1,1,11,2,2,8,2,2,1,L
73,2,1,1,1,7,1,5,1,1,19,30,26,19,1,2,2,M
74,1,1,1,1,7,2,1,1,1,12,0,6,13,2,2,1,L
75,1,2,2,1,7,1,10,1,2,50,90,29,60,1,1,1,M
76,1,11,10,3,9,1,1,1,2,15,70,37,44,1,1,1,M
77,1,1,1,3,9,1,1,1,1,20,80,33,33,1,1,1,M
78,1,1,1,3,11,1,10,1,1,13,3,11,9,2,2,2,L
79,2,5,4,1,7,2,11,1,2,80,90,49,55,1,2,1,H
80,1,1,1,1,7,1,11,1,1,8,15,10,40,1,2,1,L
81,1,1,1,2,2,1,1,1,1,8,25,1,70,2,2,2,L
82,1,1,1,2,2,2,1,1,1,7,5,2,80,1,1,2,L
83,1,1,1,2,2,2,1,1,1,7,4,10,50,2,1,2,M
84,1,1,1,2,2,2,1,1,1,50,70,50,10,1,1,2,H
85,1,1,1,2,2,2,1,1,1,1,0,1,12,2,2,2,L
86,1,7,6,2,2,2,1,1,1,70,12,40,50,1,1,1,H
87,1,1,1,2,2,2,1,1,1,19,70,3,50,2,2,1,L
88,2,1,1,2,2,2,1,1,1,3,12,4,33,2,2,1,L
89,1,1,1,2,2,2,1,1,1,5,20,1,50,1,1,2,L
90,1,1,1,2,2,2,1,1,1,4,8,10,60,1,1,2,L
91,1,1,1,2,2,2,1,1,1,80,90,55,19,1,1,1,H
92,2,1,1,2,2,2,1,1,1,50,70,19,15,1,1,1,H
93,1,10,5,2,2,2,1,1,1,55,89,40,40,1,1,1,H
94,2,1,1,2,2,2,1,1,1,80,44,35,10,2,1,2,L
95,2,1,1,2,2,2,1,1,1,100,80,2,70,2,2,1,H
96,2,1,1,2,2,3,1,1,1,14,60,11,75,1,1,1,H
97,2,1,1,2,2,2,1,1,1,6,2,38,12,2,2,1,M
98,2,1,1,2,2,3,1,1,1,10,3,0,30,2,2,1,M
99,1,1,1,2,2,2,1,1,1,50,7,9,50,1,2,2,M
100,1,1,1,2,2,2,1,1,1,50,90,40,90,1,2,1,M
101,2,1,1,2,2,2,1,1,2,70,92,50,7,1,1,1,H
102,2,1,1,2,2,2,1,1,1,2,6,2,8,2,2,2,L
103,1,1,1,2,2,2,1,1,1,1,7,6,10,2,2,2,L
104,1,1,1,2,2,2,1,1,1,0,12,3,3,1,1,2,M
105,2,1,1,2,2,2,1,1,1,0,0,5,80,1,1,2,L
106,2,1,1,2,2,2,1,1,1,12,26,7,40,1,1,1,M
107,1,1,1,2,2,2,1,1,1,70,90,41,33,1,2,1,H
108,1,7,6,2,2,2,1,1,1,7,12,5,3,2,2,2,M
109,1,1,1,2,2,2,1,1,1,90,70,30,14,2,2,1,M
110,2,2,2,2,2,2,1,1,2,70,88,55,40,1,1,1,H
111,1,1,1,2,2,3,1,1,1,77,80,51,80,2,1,1,M
112,1,1,1,2,2,2,1,1,1,2,5,3,50,2,2,2,L
113,1,1,1,2,2,2,1,1,1,25,27,0,69,2,2,2,L
114,1,1,1,2,2,2,1,1,1,11,2,0,50,2,2,2,L
115,1,1,1,2,2,2,1,1,1,0,8,11,70,1,1,2,L
116,2,1,1,2,2,3,1,1,2,77,80,12,19,1,1,2,M
117,2,1,1,2,2,3,1,1,2,25,29,40,17,2,1,1,H
118,2,1,1,2,2,3,1,1,2,24,35,23,22,1,1,2,M
119,1,1,1,2,2,3,1,1,1,60,60,3,60,2,2,1,M
120,1,1,1,2,2,3,1,1,2,21,12,0,50,1,1,1,M
121,1,1,1,2,2,3,1,1,2,0,4,8,30,2,2,2,L
122,2,1,1,2,2,2,1,1,1,66,90,55,12,1,1,2,M
123,2,5,4,2,2,2,1,1,1,70,98,7,5,1,1,1,M
124,1,1,1,2,2,3,1,1,1,0,6,4,15,1,2,1,L
125,1,1,1,2,2,2,1,1,1,12,30,0,17,2,1,2,L
126,2,11,10,2,2,3,1,1,1,2,9,7,55,1,1,1,M
127,1,1,1,2,2,2,1,1,1,55,33,6,9,2,2,2,L
128,1,1,1,2,2,3,1,1,1,12,10,20,16,2,2,1,L
129,1,1,1,2,2,2,1,1,1,70,90,2,2,1,1,1,L
130,2,1,1,2,2,3,1,1,1,7,9,5,30,2,2,2,L
131,1,2,2,2,2,3,1,1,1,80,42,20,50,1,1,1,M
132,1,1,1,2,2,3,1,2,1,0,3,10,3,2,2,2,L
133,1,1,1,2,2,1,1,2,1,12,60,0,70,1,1,2,L
134,1,1,1,1,7,1,10,2,1,80,80,15,70,1,1,1,H
135,2,8,8,1,7,1,10,2,2,70,80,95,70,1,1,1,H
136,2,1,5,3,11,1,10,2,2,70,80,95,70,1,1,1,H
137,2,1,5,3,11,1,10,1,2,60,80,50,40,2,2,1,M
138,2,2,8,1,7,1,10,1,2,100,80,95,90,2,2,1,H
139,1,2,5,1,7,1,10,1,2,100,85,85,70,2,2,1,M
140,1,6,9,1,7,1,10,1,1,10,60,5,20,1,2,2,L
141,1,6,9,1,7,1,10,2,1,19,65,50,10,2,2,2,L
142,1,6,9,1,7,1,10,2,1,10,75,55,11,1,1,1,M
143,1,1,1,1,7,1,10,2,1,80,90,55,19,1,1,1,H
144,1,1,1,1,7,1,10,2,1,10,10,15,19,2,2,2,L
145,1,6,6,1,7,1,10,2,1,70,75,55,11,1,2,1,M
146,2,5,4,1,7,1,10,2,2,100,75,50,70,1,1,1,H
147,2,5,4,1,7,1,10,2,1,10,79,30,30,2,2,1,M
148,2,2,2,1,7,1,10,2,1,60,55,30,40,2,2,1,M
149,2,2,4,1,7,1,10,2,2,100,75,50,70,1,2,1,H
150,1,7,6,3,11,1,10,2,1,80,80,51,59,1,1,1,H
151,1,7,5,3,11,1,4,2,1,23,63,71,89,1,1,1,M
152,2,7,5,3,11,2,4,2,1,100,91,98,40,1,2,1,H
153,1,7,5,3,11,2,7,2,1,10,51,40,40,2,2,2,L
154,1,7,5,3,11,2,5,2,1,70,50,33,41,2,2,2,M
155,1,7,5,3,11,2,11,2,1,70,58,73,91,1,2,1,H
156,2,6,5,3,11,2,2,2,1,70,50,30,49,1,1,1,M
157,1,6,9,3,11,2,4,2,1,70,50,33,40,2,1,1,M
158,1,6,1,1,7,2,4,2,1,22,51,48,10,2,2,2,L
159,2,1,1,1,7,2,4,2,1,62,68,48,80,1,1,1,M
160,2,2,2,1,7,2,4,2,2,82,89,58,50,1,1,1,H
161,1,2,2,1,7,2,4,2,2,72,80,58,66,2,2,1,M
162,2,2,2,2,2,2,2,2,2,70,82,3,73,2,2,1,H
163,2,2,5,2,2,2,2,2,2,60,82,93,43,2,2,2,M
164,1,2,2,2,2,2,2,2,2,55,72,83,14,1,1,2,M
165,2,13,13,2,2,2,2,2,2,72,65,73,66,1,1,1,H
166,1,1,1,2,2,2,2,2,2,51,82,53,43,2,2,1,M
167,1,6,9,2,2,2,2,2,2,80,92,83,43,1,1,1,H
168,1,1,1,2,2,2,2,2,2,60,52,23,33,1,1,1,H
169,1,1,1,2,2,2,2,2,2,30,12,29,23,2,2,1,M
170,1,1,1,2,2,2,2,2,1,40,62,83,33,1,1,1,H
171,1,1,1,2,2,2,2,2,2,60,52,23,33,2,1,1,M
172,1,11,10,2,2,2,2,2,2,20,22,53,13,2,1,2,L
173,1,9,11,2,2,2,2,2,2,20,52,23,33,1,1,2,L
174,2,2,2,2,2,2,2,2,1,50,62,73,43,1,2,2,M
175,1,11,10,2,2,2,2,2,1,10,2,13,53,2,2,2,L
176,1,6,9,2,2,2,2,2,2,60,52,23,33,1,2,1,H
177,2,10,5,2,2,2,2,2,2,15,52,83,11,1,2,1,M
178,2,5,4,2,2,2,2,2,2,80,42,33,13,1,2,1,H
179,1,5,4,2,2,2,2,2,2,40,51,20,33,2,2,1,M
180,2,7,6,2,2,2,2,2,1,60,70,63,93,1,2,1,H
181,1,2,2,2,2,2,2,2,1,50,62,13,33,2,2,2,L
182,1,1,1,1,8,1,3,2,2,85,75,62,53,1,2,1,H
183,2,5,4,1,8,1,3,2,1,25,15,32,53,2,2,1,M
184,1,5,4,1,8,1,3,2,2,10,35,30,13,2,2,2,L
185,1,5,2,1,8,1,3,2,2,87,65,82,33,1,1,1,H
186,1,1,1,1,8,1,3,2,2,85,15,22,53,1,1,1,M
187,2,1,1,1,8,1,3,2,1,80,71,52,51,1,1,1,M
188,1,1,1,1,8,1,3,2,2,75,71,72,53,1,1,1,H
189,2,1,1,1,8,1,3,2,1,85,66,12,23,2,2,1,M
190,1,1,1,1,8,1,3,2,1,23,25,32,53,2,2,1,L
191,1,1,1,1,8,1,3,2,1,15,25,37,13,1,1,2,L
192,1,1,1,1,8,1,3,2,2,95,91,62,53,1,1,1,M
193,1,13,13,1,8,1,3,2,2,81,75,62,53,2,2,1,M
194,1,13,13,1,8,1,3,2,2,53,75,72,23,2,2,1,M
195,1,1,1,1,8,1,3,2,1,15,43,42,33,1,1,1,M
196,1,1,1,1,8,1,3,2,2,92,65,62,53,1,1,1,H
197,1,1,1,1,8,1,3,2,2,83,75,62,53,2,2,1,H
198,1,13,13,1,8,2,3,2,1,27,15,42,53,2,2,2,L
199,1,1,1,1,8,2,3,2,1,45,95,12,13,2,2,1,M
200,1,1,1,1,8,2,3,2,2,15,90,52,83,1,2,1,H
201,2,5,4,1,8,1,3,2,2,45,58,52,43,1,1,1,H
202,1,1,1,1,8,2,3,2,1,25,5,12,33,1,1,1,M
203,2,1,1,1,8,2,3,2,1,22,51,42,40,1,2,1,M
204,1,2,2,1,8,2,3,2,1,29,10,12,24,2,2,2,L
205,2,7,6,1,8,2,3,2,2,72,51,42,24,1,2,2,H
206,1,1,1,1,8,2,3,2,1,67,31,42,14,1,1,1,M
207,1,1,1,1,8,3,7,2,1,17,21,42,14,1,1,1,M
208,1,6,9,1,8,3,7,2,2,27,41,49,14,2,2,1,M
209,1,1,1,1,8,3,7,2,1,70,81,39,84,2,2,1,M
210,1,2,6,1,8,3,7,2,2,27,90,82,14,1,1,1,H
211,1,1,1,1,8,3,7,2,1,17,61,42,14,2,2,1,M
212,1,6,9,1,8,3,7,2,2,87,81,42,19,1,1,1,H
213,1,6,9,1,8,3,7,2,1,7,61,22,14,2,2,2,L
214,1,1,1,1,8,3,7,2,1,17,50,2,4,2,2,2,L
215,1,1,1,1,8,3,7,2,1,5,21,42,14,2,1,2,L
216,1,11,10,1,8,3,7,2,2,27,41,32,61,1,2,2,M
217,2,2,1,1,8,3,7,2,1,87,88,40,10,1,1,1,M
218,1,1,1,1,8,3,7,2,2,96,61,42,94,1,2,1,H
219,1,1,1,1,8,3,7,2,2,57,51,46,34,1,1,1,M
220,1,5,4,1,8,3,7,2,1,77,69,41,13,1,1,1,M
221,1,5,4,1,8,3,7,2,1,80,51,40,24,2,1,1,M
222,1,1,1,1,8,2,7,2,1,62,61,82,40,1,2,1,M
223,1,1,1,1,8,1,7,2,2,72,83,12,90,1,1,1,H
224,1,1,1,1,8,2,7,2,2,87,81,22,70,1,2,1,H
225,1,1,1,1,8,1,7,2,2,72,90,12,30,2,2,1,M
226,1,1,1,1,8,2,7,2,1,2,11,62,30,2,2,1,L
227,1,1,1,1,8,1,7,2,1,5,3,2,10,1,1,1,L
228,1,1,1,3,11,2,11,2,2,73,84,77,81,1,1,2,H
229,1,1,1,1,8,1,7,2,1,5,17,21,10,2,2,2,L
230,1,11,10,1,8,1,7,2,2,51,42,12,29,2,2,2,M
231,1,9,2,1,8,1,7,2,1,9,7,21,20,1,1,2,L
232,1,9,11,1,7,1,10,1,1,19,72,15,50,1,1,2,M
233,2,2,2,1,7,2,4,2,2,32,80,58,46,1,1,2,M
234,1,1,1,1,7,2,4,2,2,32,60,58,66,1,1,2,M
235,1,1,1,1,7,2,4,2,1,12,8,18,26,2,2,2,L
236,1,2,2,1,7,2,4,2,1,52,10,13,6,2,2,2,L
237,1,1,1,1,7,2,4,2,1,72,80,58,66,1,1,2,M
238,2,1,1,1,7,2,4,2,2,72,80,58,66,1,1,2,M
239,1,8,8,1,7,2,4,2,2,92,80,88,76,1,1,1,H
240,1,1,1,1,7,2,4,2,2,72,80,98,96,1,2,1,H
241,1,8,8,1,7,2,4,2,1,72,80,58,86,1,1,1,M
242,1,1,1,1,7,2,4,2,1,22,20,18,6,2,2,2,L
243,1,8,1,1,7,2,4,2,1,12,20,38,46,2,2,2,M
244,1,1,1,1,7,2,1,2,2,70,92,83,85,1,2,1,H
245,2,1,1,1,6,1,1,2,1,50,40,52,66,1,2,1,M
246,2,1,1,1,6,1,4,2,1,80,94,62,77,1,1,1,H
247,2,1,1,1,6,1,11,2,1,87,48,82,96,2,2,2,M
248,2,1,1,1,6,1,10,2,1,70,40,2,16,2,2,2,L
249,1,1,1,2,4,1,1,2,1,65,86,62,40,2,1,2,M
250,1,1,1,2,4,1,11,2,1,15,6,32,40,1,1,1,H
251,1,8,8,2,4,1,5,2,2,19,74,32,17,2,1,2,L
252,2,1,1,2,4,1,4,2,1,69,76,82,94,2,2,1,M
253,1,1,1,2,4,1,3,2,1,39,26,12,44,2,2,2,L
254,1,1,1,2,4,1,5,2,1,59,97,42,70,1,1,1,H
255,1,1,1,2,4,1,12,2,1,10,17,12,40,1,1,1,H
256,2,1,1,2,4,1,12,2,2,80,87,72,60,2,1,1,H
257,2,1,1,2,4,1,12,2,1,70,99,66,65,2,1,1,M
258,2,1,1,2,4,1,12,2,1,80,97,86,95,1,1,1,M
259,1,1,1,2,4,1,5,2,2,69,34,12,17,2,2,2,L
260,1,1,1,2,4,1,12,2,1,10,17,12,14,2,2,2,L
261,1,1,1,2,4,1,12,2,1,61,97,82,64,1,2,2,M
262,2,1,1,2,4,1,12,2,2,21,27,52,34,1,1,2,M
263,1,8,8,2,4,1,11,2,2,49,94,42,7,2,2,2,M
264,2,2,2,1,6,1,5,1,2,70,64,42,32,2,2,1,M
265,2,2,2,1,6,1,5,2,2,79,84,82,37,2,2,1,H
266,1,2,2,1,6,1,5,1,1,19,80,12,17,1,1,2,M
267,1,2,2,1,6,1,5,2,1,11,70,32,29,1,1,2,M
268,1,2,2,1,6,1,5,1,1,10,8,10,10,1,2,2,M
269,1,2,2,1,6,1,5,2,1,18,28,40,20,1,2,2,M
270,2,2,2,1,6,1,5,1,2,90,84,52,30,2,1,1,H
271,2,2,2,1,6,1,5,2,2,92,81,32,36,2,1,1,M
272,1,2,2,1,6,1,5,1,1,42,21,2,16,2,2,1,M
273,1,2,2,1,6,1,5,2,1,22,20,6,26,2,2,1,H
274,2,5,4,1,6,1,5,1,2,95,82,82,70,1,1,1,H
275,2,5,4,1,6,1,5,2,2,90,62,80,60,1,1,1,H
276,1,3,2,1,6,1,5,1,2,72,21,22,26,1,1,1,H
277,1,3,2,1,6,1,5,2,2,92,31,42,27,1,1,1,H
278,1,3,2,1,6,1,5,1,2,82,31,52,25,2,1,1,M
279,1,3,2,1,6,1,5,2,2,72,41,46,27,2,1,1,M
280,1,4,3,1,6,1,5,1,2,74,71,56,37,2,1,1,H
281,1,4,3,1,6,1,5,2,2,74,60,56,37,2,1,1,H
282,2,2,2,1,6,1,5,1,2,95,94,72,80,2,1,1,H
283,2,2,2,1,6,1,5,2,2,97,87,82,86,2,1,1,H
284,1,2,2,1,6,1,5,1,1,40,38,32,36,2,2,2,M
285,1,2,2,1,6,1,5,2,1,41,39,35,39,1,2,2,M
286,2,2,2,1,6,1,5,1,2,51,79,85,89,1,1,1,H
287,2,2,2,1,6,1,5,2,2,81,79,91,85,1,1,1,H
288,1,3,2,1,6,1,5,1,2,71,70,65,69,1,1,1,M
289,1,3,2,1,6,1,5,2,2,75,71,76,80,1,1,1,M
290,2,2,2,2,4,1,4,1,1,49,36,32,44,2,2,2,L
291,2,2,2,2,4,1,4,2,1,42,24,12,24,2,2,2,L
292,2,3,7,2,4,1,4,1,2,90,86,82,74,1,1,1,H
293,2,3,7,2,4,1,4,2,2,62,64,72,84,1,1,1,H
294,1,4,3,2,4,1,4,1,1,90,86,82,74,1,1,2,M
295,1,4,3,2,4,1,4,2,1,62,64,72,84,1,1,2,M
296,2,2,2,2,4,1,4,1,2,98,87,86,84,2,1,1,H
297,2,2,2,2,4,1,4,2,2,72,74,82,89,2,1,1,H
298,1,2,2,2,4,1,4,1,1,18,17,26,34,2,1,2,M
299,1,2,2,2,4,1,4,2,1,32,14,32,29,2,1,2,M
300,1,2,2,2,4,1,4,1,1,10,12,20,13,2,2,2,L
301,1,2,2,2,4,1,4,2,1,22,34,15,9,2,2,2,L
302,2,2,2,2,4,2,4,1,2,11,20,21,23,2,2,1,M
303,2,2,2,2,4,2,4,2,2,12,44,25,39,2,2,1,M
304,2,2,2,2,4,2,4,1,1,15,50,24,43,1,2,1,M
305,2,2,2,2,4,2,4,2,1,32,44,29,89,1,2,1,M
306,1,2,2,2,4,2,4,1,2,65,59,74,83,1,1,1,H
307,1,2,2,2,4,2,4,2,2,72,64,59,89,1,1,1,H
308,1,3,2,2,4,2,4,1,2,95,57,74,89,1,1,2,M
309,1,3,2,2,4,2,4,2,2,82,84,79,79,1,1,2,M
310,1,2,2,2,4,2,4,1,1,25,29,34,33,2,1,2,M
311,1,2,2,2,4,2,4,2,1,42,34,29,39,2,1,2,M
312,2,2,2,2,4,2,4,1,2,55,79,44,43,1,1,1,H
313,2,2,2,2,4,2,4,2,2,62,64,69,49,1,1,1,H
314,2,2,4,2,4,2,4,1,2,78,88,74,83,1,1,1,H
315,2,2,4,2,4,2,4,2,2,72,84,89,89,1,1,1,H
316,1,2,2,2,2,1,2,1,2,60,92,83,23,1,1,1,H
317,1,2,2,2,2,1,2,2,2,50,90,83,13,1,1,1,H
318,2,2,2,2,2,1,2,1,2,60,97,13,3,1,1,1,H
319,2,2,2,2,2,1,2,2,2,50,95,23,10,1,1,1,H
320,2,2,2,2,2,1,2,1,2,60,87,23,11,1,1,2,M
321,2,2,2,2,2,1,2,2,2,50,80,20,15,1,1,2,M
322,1,2,2,2,2,1,2,1,1,10,15,10,21,2,2,2,L
323,1,2,2,2,2,1,2,2,1,30,10,20,5,2,2,2,L
324,1,9,11,2,2,1,2,1,1,24,35,18,31,2,2,1,M
325,1,9,11,2,2,1,2,2,1,27,20,33,35,2,2,1,M
326,1,2,2,2,2,1,2,1,1,10,15,10,21,2,2,2,L
327,1,2,2,2,2,1,2,2,1,30,10,20,5,2,2,2,L
328,2,2,7,2,2,1,2,1,2,80,77,63,83,1,1,1,M
329,2,2,7,2,2,1,2,2,2,75,85,73,80,1,1,1,M
330,1,2,2,2,2,1,2,1,1,40,7,50,41,2,1,2,L
331,1,2,2,2,2,1,2,2,1,35,2,29,33,2,1,2,L
332,2,2,2,2,2,1,2,1,2,10,90,30,21,2,1,1,M
333,2,2,2,2,2,1,2,2,2,25,80,29,23,2,1,1,M
334,1,12,12,2,2,1,2,1,2,10,8,9,3,2,1,2,L
335,1,12,12,2,2,1,2,2,2,15,7,12,7,2,1,2,L
336,2,3,2,2,2,1,2,1,2,70,90,20,21,2,1,1,M
337,2,3,2,2,2,1,2,2,2,75,80,15,20,2,1,1,M
338,2,3,2,2,2,2,2,1,1,78,98,10,11,2,1,1,M
339,2,3,2,2,2,2,2,2,1,79,89,11,14,2,1,1,M
340,2,4,3,2,2,2,2,1,1,16,90,15,11,2,1,1,M
341,2,4,3,2,2,2,2,2,1,17,80,13,10,2,1,1,M
342,1,2,2,2,2,2,2,1,2,40,87,50,41,2,2,1,M
343,1,2,2,2,2,2,2,2,2,35,92,29,33,2,2,1,M
344,2,2,2,2,2,2,2,1,2,14,97,15,14,2,1,1,H
345,2,2,2,2,2,2,2,1,2,13,82,20,30,2,1,1,H
346,2,2,2,2,2,2,2,2,2,24,97,15,14,2,1,1,H
347,2,2,2,2,2,2,2,2,2,23,82,20,30,2,1,1,H
348,1,12,12,2,2,2,2,1,2,20,3,9,3,2,1,2,L
349,1,12,12,2,2,2,2,2,2,15,4,12,7,2,1,2,L
350,1,8,8,2,2,2,2,1,2,5,13,6,6,2,1,2,L
351,1,8,8,2,2,2,2,2,2,7,9,11,10,2,1,2,L
352,2,2,2,2,2,2,2,1,2,10,94,40,11,1,1,1,M
353,2,2,2,2,2,2,2,2,2,25,89,21,13,1,1,1,M
354,1,2,2,2,2,2,2,1,2,30,98,42,21,1,1,1,H
355,1,2,2,2,2,2,2,2,2,35,97,41,23,1,1,1,H
356,1,2,2,2,2,2,2,1,1,32,88,32,25,1,1,1,M
357,1,2,2,2,2,2,2,2,1,25,87,21,27,1,1,1,M
358,2,5,4,2,2,2,2,1,2,72,98,52,15,1,1,1,H
359,2,5,4,2,2,2,2,2,2,75,90,51,17,1,1,1,H
360,1,2,2,2,2,1,3,1,1,20,88,31,28,1,1,2,M
361,1,2,2,2,2,1,3,2,1,10,98,41,38,1,1,2,M
362,1,3,2,2,2,1,3,1,1,90,98,41,38,1,1,1,H
363,1,3,2,2,2,1,3,2,1,80,88,51,39,1,1,1,H
364,1,4,3,2,2,1,3,1,1,80,95,21,28,1,1,1,H
365,1,4,3,2,2,1,3,2,1,78,70,31,29,1,1,1,H
366,1,2,2,2,2,1,3,1,1,10,18,71,38,1,1,2,M
367,1,2,2,2,2,1,3,2,1,10,58,51,48,1,1,2,M
368,2,3,2,2,2,1,3,1,2,98,88,60,31,2,1,1,H
369,2,3,2,2,2,1,3,2,2,75,81,51,34,2,1,1,H
370,1,2,2,2,2,1,3,1,1,10,17,50,21,2,2,1,M
371,1,2,2,2,2,1,3,2,1,35,2,29,23,2,2,1,M
372,2,2,2,2,2,1,3,1,1,10,20,22,97,2,2,2,L
373,2,2,2,2,2,1,3,2,1,5,9,19,98,2,2,2,L
374,1,2,2,2,2,2,3,1,1,10,10,40,51,2,2,2,L
375,1,2,2,2,2,2,3,2,1,35,2,29,23,2,2,2,L
376,1,2,2,2,2,2,3,1,2,20,90,50,61,1,2,2,M
377,1,2,2,2,2,2,3,2,2,32,82,59,63,1,2,2,M
378,1,2,2,2,2,2,3,1,1,10,30,50,91,1,2,2,L
379,1,2,2,2,2,2,3,2,1,12,22,59,83,1,2,2,L
380,2,2,2,2,2,2,3,1,1,11,20,20,98,2,2,2,L
381,2,2,2,2,2,2,3,2,1,10,12,29,93,2,2,2,L
